"","language","speechno","sentence_text","pre_sentence","post_sentence"
"SV5_8","SV",5,"Jag vill tacka Bernhard Rapkay för att han har utarbetat detta förslag i nära samarbete med Europeiska folkpartiets grupp (kristdemokrater).","Faktum är att den antagligen blir värre om vi använder importerat kol, eftersom det måste transporteras hit från Kanada, Australien eller andra delar av världen. Därför är denna motivering felaktig.","Det rör en rådsförordning. Det finns ett kryphål i Lissabonfördraget som innebär att förordningar på området för konkurrenslagstiftning inte omfattas av parlamentets medbeslutandeförfarande."
"SV5_9","SV",5,"Det rör en rådsförordning.","Därför är denna motivering felaktig. Jag vill tacka Bernhard Rapkay för att han har utarbetat detta förslag i nära samarbete med Europeiska folkpartiets grupp (kristdemokrater).","Det finns ett kryphål i Lissabonfördraget som innebär att förordningar på området för konkurrenslagstiftning inte omfattas av parlamentets medbeslutandeförfarande. I stället grundas förfarandet, som inte omfattar någon ordentlig bedömning, fortfarande på förordning nr 17 från 1965."
"SV5_10","SV",5,"Det finns ett kryphål i Lissabonfördraget som innebär att förordningar på området för konkurrenslagstiftning inte omfattas av parlamentets medbeslutandeförfarande.","Jag vill tacka Bernhard Rapkay för att han har utarbetat detta förslag i nära samarbete med Europeiska folkpartiets grupp (kristdemokrater). Det rör en rådsförordning.","I stället grundas förfarandet, som inte omfattar någon ordentlig bedömning, fortfarande på förordning nr 17 från 1965. Därför behöver vi nu - åtminstone när det gäller vårt yttrande - en omröstning med bred majoritet, så att vårt kol, som är en av de viktigaste energikällor vi fortfarande har till vårt förfogande i Europa, förblir konkurrenskraftigt i framtiden."
"SV5_11","SV",5,"I stället grundas förfarandet, som inte omfattar någon ordentlig bedömning, fortfarande på förordning nr 17 från 1965.","Det rör en rådsförordning. Det finns ett kryphål i Lissabonfördraget som innebär att förordningar på området för konkurrenslagstiftning inte omfattas av parlamentets medbeslutandeförfarande.","Därför behöver vi nu - åtminstone när det gäller vårt yttrande - en omröstning med bred majoritet, så att vårt kol, som är en av de viktigaste energikällor vi fortfarande har till vårt förfogande i Europa, förblir konkurrenskraftigt i framtiden. Vår grupp kommer att ge Bernhard Rapkays betänkande sitt obegränsade stöd."
"SV5_12","SV",5,"Därför behöver vi nu - åtminstone när det gäller vårt yttrande - en omröstning med bred majoritet, så att vårt kol, som är en av de viktigaste energikällor vi fortfarande har till vårt förfogande i Europa, förblir konkurrenskraftigt i framtiden.","Det finns ett kryphål i Lissabonfördraget som innebär att förordningar på området för konkurrenslagstiftning inte omfattas av parlamentets medbeslutandeförfarande. I stället grundas förfarandet, som inte omfattar någon ordentlig bedömning, fortfarande på förordning nr 17 från 1965.","Vår grupp kommer att ge Bernhard Rapkays betänkande sitt obegränsade stöd. Vi vill uppmuntra Joaquín Almunia att övertyga kommissionen om att lägga fram ett nytt förslag med 2018 som tidsgräns och vi vill ändra två punkter i det antagna betänkandet."
"SV5_13","SV",5,"Vår grupp kommer att ge Bernhard Rapkays betänkande sitt obegränsade stöd.","I stället grundas förfarandet, som inte omfattar någon ordentlig bedömning, fortfarande på förordning nr 17 från 1965. Därför behöver vi nu - åtminstone när det gäller vårt yttrande - en omröstning med bred majoritet, så att vårt kol, som är en av de viktigaste energikällor vi fortfarande har till vårt förfogande i Europa, förblir konkurrenskraftigt i framtiden.","Vi vill uppmuntra Joaquín Almunia att övertyga kommissionen om att lägga fram ett nytt förslag med 2018 som tidsgräns och vi vill ändra två punkter i det antagna betänkandet. En av dessa handlar om på vilket sätt stödet ska trappas ned gradvis."
"SV5_14","SV",5,"Vi vill uppmuntra Joaquín Almunia att övertyga kommissionen om att lägga fram ett nytt förslag med 2018 som tidsgräns och vi vill ändra två punkter i det antagna betänkandet.","Därför behöver vi nu - åtminstone när det gäller vårt yttrande - en omröstning med bred majoritet, så att vårt kol, som är en av de viktigaste energikällor vi fortfarande har till vårt förfogande i Europa, förblir konkurrenskraftigt i framtiden. Vår grupp kommer att ge Bernhard Rapkays betänkande sitt obegränsade stöd.","En av dessa handlar om på vilket sätt stödet ska trappas ned gradvis. Enligt vår uppfattning bör detta överlämnas åt medlemsstaterna under denna åttaårsperiod."
"SV5_15","SV",5,"En av dessa handlar om på vilket sätt stödet ska trappas ned gradvis.","Vår grupp kommer att ge Bernhard Rapkays betänkande sitt obegränsade stöd. Vi vill uppmuntra Joaquín Almunia att övertyga kommissionen om att lägga fram ett nytt förslag med 2018 som tidsgräns och vi vill ändra två punkter i det antagna betänkandet.","Enligt vår uppfattning bör detta överlämnas åt medlemsstaterna under denna åttaårsperiod. Den andra punkten handlar om att hela förordningen ska upphöra att gälla 2030."
"SV5_16","SV",5,"Enligt vår uppfattning bör detta överlämnas åt medlemsstaterna under denna åttaårsperiod.","Vi vill uppmuntra Joaquín Almunia att övertyga kommissionen om att lägga fram ett nytt förslag med 2018 som tidsgräns och vi vill ändra två punkter i det antagna betänkandet. En av dessa handlar om på vilket sätt stödet ska trappas ned gradvis.","Den andra punkten handlar om att hela förordningen ska upphöra att gälla 2030. Det är också så långt som rådet har kommit i sina diskussioner om denna förordning."
"SV5_17","SV",5,"Den andra punkten handlar om att hela förordningen ska upphöra att gälla 2030.","En av dessa handlar om på vilket sätt stödet ska trappas ned gradvis. Enligt vår uppfattning bör detta överlämnas åt medlemsstaterna under denna åttaårsperiod.","Det är också så långt som rådet har kommit i sina diskussioner om denna förordning. Först när parlamentet fattar ett tydligt beslut till stöd för 2018 som slutår kommer vi att kunna genomföra en ordentlig utvärdering av de sociala, politiska, energipolitiska, ekonomiska och regionala grunderna."
"SV5_18","SV",5,"Det är också så långt som rådet har kommit i sina diskussioner om denna förordning.","Enligt vår uppfattning bör detta överlämnas åt medlemsstaterna under denna åttaårsperiod. Den andra punkten handlar om att hela förordningen ska upphöra att gälla 2030.","Först när parlamentet fattar ett tydligt beslut till stöd för 2018 som slutår kommer vi att kunna genomföra en ordentlig utvärdering av de sociala, politiska, energipolitiska, ekonomiska och regionala grunderna."
"SV5_19","SV",5,"Först när parlamentet fattar ett tydligt beslut till stöd för 2018 som slutår kommer vi att kunna genomföra en ordentlig utvärdering av de sociala, politiska, energipolitiska, ekonomiska och regionala grunderna.","Den andra punkten handlar om att hela förordningen ska upphöra att gälla 2030. Det är också så långt som rådet har kommit i sina diskussioner om denna förordning.",""
"SV6_1","SV",6,"Olle Ludvigsson, för S&D-gruppen.","","- Fru talman! Det här är inget okomplicerat ärende. Det är därför viktigt att vi för parlamentets del etablerar en väl balanserad ståndpunkt."
"SV6_2","SV",6,"- Fru talman! Det här är inget okomplicerat ärende.","Olle Ludvigsson, för S&D-gruppen.","Det är därför viktigt att vi för parlamentets del etablerar en väl balanserad ståndpunkt. Det finns två övergripande aspekter att ta hänsyn till."
"SV6_3","SV",6,"Det är därför viktigt att vi för parlamentets del etablerar en väl balanserad ståndpunkt.","Olle Ludvigsson, för S&D-gruppen. - Fru talman! Det här är inget okomplicerat ärende.","Det finns två övergripande aspekter att ta hänsyn till. Å ena sidan är det orimligt att i längden hålla igång denna konstgjorda andning för denna icke konkurrenskraftiga gruvdrift."
"SV6_4","SV",6,"Det finns två övergripande aspekter att ta hänsyn till.","- Fru talman! Det här är inget okomplicerat ärende. Det är därför viktigt att vi för parlamentets del etablerar en väl balanserad ståndpunkt.","Å ena sidan är det orimligt att i längden hålla igång denna konstgjorda andning för denna icke konkurrenskraftiga gruvdrift. Av både miljö- och konkurrensskäl är det ohållbart att genom offentligt stödprogram se till att olönsamma kolgruvor lever vidare."
"SV6_5","SV",6,"Å ena sidan är det orimligt att i längden hålla igång denna konstgjorda andning för denna icke konkurrenskraftiga gruvdrift.","Det är därför viktigt att vi för parlamentets del etablerar en väl balanserad ståndpunkt. Det finns två övergripande aspekter att ta hänsyn till.","Av både miljö- och konkurrensskäl är det ohållbart att genom offentligt stödprogram se till att olönsamma kolgruvor lever vidare. Därför är det logiskt att subventionerna till denna verksamhet nu fasas ut."
"SV6_6","SV",6,"Av både miljö- och konkurrensskäl är det ohållbart att genom offentligt stödprogram se till att olönsamma kolgruvor lever vidare.","Det finns två övergripande aspekter att ta hänsyn till. Å ena sidan är det orimligt att i längden hålla igång denna konstgjorda andning för denna icke konkurrenskraftiga gruvdrift.","Därför är det logiskt att subventionerna till denna verksamhet nu fasas ut. Å andra sidan blir avskaffandet av subventioner att hårt slag, inte bara för de tiotusentals kolgruvearbetare som tvingas söka sig till nya jobb, utan även för deras familjer och alla andra som är beroende av gruvdriften."
"SV6_7","SV",6,"Därför är det logiskt att subventionerna till denna verksamhet nu fasas ut.","Å ena sidan är det orimligt att i längden hålla igång denna konstgjorda andning för denna icke konkurrenskraftiga gruvdrift. Av både miljö- och konkurrensskäl är det ohållbart att genom offentligt stödprogram se till att olönsamma kolgruvor lever vidare.","Å andra sidan blir avskaffandet av subventioner att hårt slag, inte bara för de tiotusentals kolgruvearbetare som tvingas söka sig till nya jobb, utan även för deras familjer och alla andra som är beroende av gruvdriften. Det blir en fråga om mycket svår omställning för de människor som bor i de berörda regionerna."
"SV6_8","SV",6,"Å andra sidan blir avskaffandet av subventioner att hårt slag, inte bara för de tiotusentals kolgruvearbetare som tvingas söka sig till nya jobb, utan även för deras familjer och alla andra som är beroende av gruvdriften.","Av både miljö- och konkurrensskäl är det ohållbart att genom offentligt stödprogram se till att olönsamma kolgruvor lever vidare. Därför är det logiskt att subventionerna till denna verksamhet nu fasas ut.","Det blir en fråga om mycket svår omställning för de människor som bor i de berörda regionerna. Att väga samman dessa båda aspekter är inte lätt, men jag tycker ändå att kommissionen i sitt förslag har hittat en vettig balans."
"SV6_9","SV",6,"Det blir en fråga om mycket svår omställning för de människor som bor i de berörda regionerna.","Därför är det logiskt att subventionerna till denna verksamhet nu fasas ut. Å andra sidan blir avskaffandet av subventioner att hårt slag, inte bara för de tiotusentals kolgruvearbetare som tvingas söka sig till nya jobb, utan även för deras familjer och alla andra som är beroende av gruvdriften.","Att väga samman dessa båda aspekter är inte lätt, men jag tycker ändå att kommissionen i sitt förslag har hittat en vettig balans. Subventionerna tas bort, men det sker under ordnade former och med hänsyn tagen till såväl sysselsättning som miljö."
"SV6_10","SV",6,"Att väga samman dessa båda aspekter är inte lätt, men jag tycker ändå att kommissionen i sitt förslag har hittat en vettig balans.","Å andra sidan blir avskaffandet av subventioner att hårt slag, inte bara för de tiotusentals kolgruvearbetare som tvingas söka sig till nya jobb, utan även för deras familjer och alla andra som är beroende av gruvdriften. Det blir en fråga om mycket svår omställning för de människor som bor i de berörda regionerna.","Subventionerna tas bort, men det sker under ordnade former och med hänsyn tagen till såväl sysselsättning som miljö. De aktuella regionerna tvingas ta en svår motgång i och med avskaffandet av subventionerna, men samtidigt öppnar förslaget upp för omfattande sociala och miljöinriktade åtgärder i syfte att göra denna regionala omställningsprocess så effektiv som möjligt."
"SV6_11","SV",6,"Subventionerna tas bort, men det sker under ordnade former och med hänsyn tagen till såväl sysselsättning som miljö.","Det blir en fråga om mycket svår omställning för de människor som bor i de berörda regionerna. Att väga samman dessa båda aspekter är inte lätt, men jag tycker ändå att kommissionen i sitt förslag har hittat en vettig balans.","De aktuella regionerna tvingas ta en svår motgång i och med avskaffandet av subventionerna, men samtidigt öppnar förslaget upp för omfattande sociala och miljöinriktade åtgärder i syfte att göra denna regionala omställningsprocess så effektiv som möjligt. Det är oerhört viktigt att alla dessa möjligheter utnyttjas fullt ut av nationella och regionala myndigheter."
"SV6_12","SV",6,"De aktuella regionerna tvingas ta en svår motgång i och med avskaffandet av subventionerna, men samtidigt öppnar förslaget upp för omfattande sociala och miljöinriktade åtgärder i syfte att göra denna regionala omställningsprocess så effektiv som möjligt.","Att väga samman dessa båda aspekter är inte lätt, men jag tycker ändå att kommissionen i sitt förslag har hittat en vettig balans. Subventionerna tas bort, men det sker under ordnade former och med hänsyn tagen till såväl sysselsättning som miljö.","Det är oerhört viktigt att alla dessa möjligheter utnyttjas fullt ut av nationella och regionala myndigheter. En storskalig satsning på aktiva arbetsmarknadsinsatser och grundliga miljösaneringar är en förutsättning för att slutresultatet för dessa regioner ska bli acceptabelt."
"SV6_13","SV",6,"Det är oerhört viktigt att alla dessa möjligheter utnyttjas fullt ut av nationella och regionala myndigheter.","Subventionerna tas bort, men det sker under ordnade former och med hänsyn tagen till såväl sysselsättning som miljö. De aktuella regionerna tvingas ta en svår motgång i och med avskaffandet av subventionerna, men samtidigt öppnar förslaget upp för omfattande sociala och miljöinriktade åtgärder i syfte att göra denna regionala omställningsprocess så effektiv som möjligt.","En storskalig satsning på aktiva arbetsmarknadsinsatser och grundliga miljösaneringar är en förutsättning för att slutresultatet för dessa regioner ska bli acceptabelt. I debatten så här långt har tre frågor varit i fokus."
"SV6_14","SV",6,"En storskalig satsning på aktiva arbetsmarknadsinsatser och grundliga miljösaneringar är en förutsättning för att slutresultatet för dessa regioner ska bli acceptabelt.","De aktuella regionerna tvingas ta en svår motgång i och med avskaffandet av subventionerna, men samtidigt öppnar förslaget upp för omfattande sociala och miljöinriktade åtgärder i syfte att göra denna regionala omställningsprocess så effektiv som möjligt. Det är oerhört viktigt att alla dessa möjligheter utnyttjas fullt ut av nationella och regionala myndigheter.","I debatten så här långt har tre frågor varit i fokus. För det första har det förts fram argument att de kolgruvor som blir konkurrenskraftiga under nedläggningsperioden ska kunna drivas vidare."
"SV6_15","SV",6,"I debatten så här långt har tre frågor varit i fokus.","Det är oerhört viktigt att alla dessa möjligheter utnyttjas fullt ut av nationella och regionala myndigheter. En storskalig satsning på aktiva arbetsmarknadsinsatser och grundliga miljösaneringar är en förutsättning för att slutresultatet för dessa regioner ska bli acceptabelt.","För det första har det förts fram argument att de kolgruvor som blir konkurrenskraftiga under nedläggningsperioden ska kunna drivas vidare. Enligt min mening vore det fel att öppna för den möjligheten, eftersom det stöd som ska ges måste användas på rätt sätt och bygga på en definitiv nedläggning."
"SV6_16","SV",6,"För det första har det förts fram argument att de kolgruvor som blir konkurrenskraftiga under nedläggningsperioden ska kunna drivas vidare.","En storskalig satsning på aktiva arbetsmarknadsinsatser och grundliga miljösaneringar är en förutsättning för att slutresultatet för dessa regioner ska bli acceptabelt. I debatten så här långt har tre frågor varit i fokus.","Enligt min mening vore det fel att öppna för den möjligheten, eftersom det stöd som ska ges måste användas på rätt sätt och bygga på en definitiv nedläggning. För det andra har slutåret för nedläggningsstödet diskuterats."
"SV6_17","SV",6,"Enligt min mening vore det fel att öppna för den möjligheten, eftersom det stöd som ska ges måste användas på rätt sätt och bygga på en definitiv nedläggning.","I debatten så här långt har tre frågor varit i fokus. För det första har det förts fram argument att de kolgruvor som blir konkurrenskraftiga under nedläggningsperioden ska kunna drivas vidare.","För det andra har slutåret för nedläggningsstödet diskuterats. I detta sammanhang är det viktigt att notera att den nuvarande förordningen har funnits sedan 2002 och att alla har varit medvetna om att undantagen från konkurrensreglerna skulle löpa ut i år."
"SV6_18","SV",6,"För det andra har slutåret för nedläggningsstödet diskuterats.","För det första har det förts fram argument att de kolgruvor som blir konkurrenskraftiga under nedläggningsperioden ska kunna drivas vidare. Enligt min mening vore det fel att öppna för den möjligheten, eftersom det stöd som ska ges måste användas på rätt sätt och bygga på en definitiv nedläggning.","I detta sammanhang är det viktigt att notera att den nuvarande förordningen har funnits sedan 2002 och att alla har varit medvetna om att undantagen från konkurrensreglerna skulle löpa ut i år. Det fanns alltså inga överraskningsmoment i detta."
"SV6_19","SV",6,"I detta sammanhang är det viktigt att notera att den nuvarande förordningen har funnits sedan 2002 och att alla har varit medvetna om att undantagen från konkurrensreglerna skulle löpa ut i år.","Enligt min mening vore det fel att öppna för den möjligheten, eftersom det stöd som ska ges måste användas på rätt sätt och bygga på en definitiv nedläggning. För det andra har slutåret för nedläggningsstödet diskuterats.","Det fanns alltså inga överraskningsmoment i detta. Jag kan vara flexibel när det gäller det exakta årtalet."
"SV6_20","SV",6,"Det fanns alltså inga överraskningsmoment i detta.","För det andra har slutåret för nedläggningsstödet diskuterats. I detta sammanhang är det viktigt att notera att den nuvarande förordningen har funnits sedan 2002 och att alla har varit medvetna om att undantagen från konkurrensreglerna skulle löpa ut i år.","Jag kan vara flexibel när det gäller det exakta årtalet. För det tredje har det funnits delade meningar om miljö- och hållbarhetsinslagen i parlamentets ståndpunkt."
"SV6_21","SV",6,"Jag kan vara flexibel när det gäller det exakta årtalet.","I detta sammanhang är det viktigt att notera att den nuvarande förordningen har funnits sedan 2002 och att alla har varit medvetna om att undantagen från konkurrensreglerna skulle löpa ut i år. Det fanns alltså inga överraskningsmoment i detta.","För det tredje har det funnits delade meningar om miljö- och hållbarhetsinslagen i parlamentets ståndpunkt. Jag menar att dessa ska vara så tydliga som möjligt och definitivt mer framträdande än i ekonomiutskottets text."
"SV6_22","SV",6,"För det tredje har det funnits delade meningar om miljö- och hållbarhetsinslagen i parlamentets ståndpunkt.","Det fanns alltså inga överraskningsmoment i detta. Jag kan vara flexibel när det gäller det exakta årtalet.","Jag menar att dessa ska vara så tydliga som möjligt och definitivt mer framträdande än i ekonomiutskottets text. Det är mycket viktigt att vi sänder ut rätt signal på denna punkt."
"SV6_23","SV",6,"Jag menar att dessa ska vara så tydliga som möjligt och definitivt mer framträdande än i ekonomiutskottets text.","Jag kan vara flexibel när det gäller det exakta årtalet. För det tredje har det funnits delade meningar om miljö- och hållbarhetsinslagen i parlamentets ståndpunkt.","Det är mycket viktigt att vi sänder ut rätt signal på denna punkt."
"SV6_24","SV",6,"Det är mycket viktigt att vi sänder ut rätt signal på denna punkt.","För det tredje har det funnits delade meningar om miljö- och hållbarhetsinslagen i parlamentets ståndpunkt. Jag menar att dessa ska vara så tydliga som möjligt och definitivt mer framträdande än i ekonomiutskottets text.",""
"SV7_1","SV",7,"Fru talman! Jag måste säga att denna nya romans mellan PPE- och S&D-grupperna är mycket rörande, men jag anser emellertid att denna ömma och kärleksfulla omfamning mellan Bernhard Rapkay och Werner Langen stadigt håller kvar Europa i det förflutna.","","Vi talar om den sjunde förlängningen av det särskilda statliga stödet. Bernhard Rapkay uppgav själv att han var föredragande för detta ämne redan 2002."
"SV7_2","SV",7,"Vi talar om den sjunde förlängningen av det särskilda statliga stödet.","Fru talman! Jag måste säga att denna nya romans mellan PPE- och S&D-grupperna är mycket rörande, men jag anser emellertid att denna ömma och kärleksfulla omfamning mellan Bernhard Rapkay och Werner Langen stadigt håller kvar Europa i det förflutna.","Bernhard Rapkay uppgav själv att han var föredragande för detta ämne redan 2002. Vem kan garantera att vi inte kommer att föra samma debatt 2018?"
"SV7_3","SV",7,"Bernhard Rapkay uppgav själv att han var föredragande för detta ämne redan 2002.","Fru talman! Jag måste säga att denna nya romans mellan PPE- och S&D-grupperna är mycket rörande, men jag anser emellertid att denna ömma och kärleksfulla omfamning mellan Bernhard Rapkay och Werner Langen stadigt håller kvar Europa i det förflutna. Vi talar om den sjunde förlängningen av det särskilda statliga stödet.","Vem kan garantera att vi inte kommer att föra samma debatt 2018? Skälen som var aktuella 2002 och som är aktuella i dag kommer fortfarande att finnas kvar 2018."
"SV7_4","SV",7,"Vem kan garantera att vi inte kommer att föra samma debatt 2018?","Vi talar om den sjunde förlängningen av det särskilda statliga stödet. Bernhard Rapkay uppgav själv att han var föredragande för detta ämne redan 2002.","Skälen som var aktuella 2002 och som är aktuella i dag kommer fortfarande att finnas kvar 2018. Därför stöder min grupp reservationslöst kommissionens ståndpunkt."
"SV7_5","SV",7,"Skälen som var aktuella 2002 och som är aktuella i dag kommer fortfarande att finnas kvar 2018.","Bernhard Rapkay uppgav själv att han var föredragande för detta ämne redan 2002. Vem kan garantera att vi inte kommer att föra samma debatt 2018?","Därför stöder min grupp reservationslöst kommissionens ståndpunkt. Vi har begärt en separat omröstning om ändringsförslagen 25 och 27, och vi uppmanar alla kolleger i de två stora grupperna att rösta emot dessa ändringsförslag och stödja kommissionens förslag om att stödet ska fasas ut senast 2014."
"SV7_6","SV",7,"Därför stöder min grupp reservationslöst kommissionens ståndpunkt.","Vem kan garantera att vi inte kommer att föra samma debatt 2018? Skälen som var aktuella 2002 och som är aktuella i dag kommer fortfarande att finnas kvar 2018.","Vi har begärt en separat omröstning om ändringsförslagen 25 och 27, och vi uppmanar alla kolleger i de två stora grupperna att rösta emot dessa ändringsförslag och stödja kommissionens förslag om att stödet ska fasas ut senast 2014. Jag vet att omröstningar har ägt rum i de olika utskotten, men jag vet också att det finns många kolleger i de två stora grupperna som känner sig mycket illa till mods med den nuvarande ståndpunkten."
"SV7_7","SV",7,"Vi har begärt en separat omröstning om ändringsförslagen 25 och 27, och vi uppmanar alla kolleger i de två stora grupperna att rösta emot dessa ändringsförslag och stödja kommissionens förslag om att stödet ska fasas ut senast 2014.","Skälen som var aktuella 2002 och som är aktuella i dag kommer fortfarande att finnas kvar 2018. Därför stöder min grupp reservationslöst kommissionens ståndpunkt.","Jag vet att omröstningar har ägt rum i de olika utskotten, men jag vet också att det finns många kolleger i de två stora grupperna som känner sig mycket illa till mods med den nuvarande ståndpunkten. De måste inse att de har full frihet att rösta enligt sitt samvete, för det är faktiskt inte Europaparlamentet som beslutar."
"SV7_8","SV",7,"Jag vet att omröstningar har ägt rum i de olika utskotten, men jag vet också att det finns många kolleger i de två stora grupperna som känner sig mycket illa till mods med den nuvarande ståndpunkten.","Därför stöder min grupp reservationslöst kommissionens ståndpunkt. Vi har begärt en separat omröstning om ändringsförslagen 25 och 27, och vi uppmanar alla kolleger i de två stora grupperna att rösta emot dessa ändringsförslag och stödja kommissionens förslag om att stödet ska fasas ut senast 2014.","De måste inse att de har full frihet att rösta enligt sitt samvete, för det är faktiskt inte Europaparlamentet som beslutar. De bör alltså rösta i syfte att framföra sina åsikter."
"SV7_9","SV",7,"De måste inse att de har full frihet att rösta enligt sitt samvete, för det är faktiskt inte Europaparlamentet som beslutar.","Vi har begärt en separat omröstning om ändringsförslagen 25 och 27, och vi uppmanar alla kolleger i de två stora grupperna att rösta emot dessa ändringsförslag och stödja kommissionens förslag om att stödet ska fasas ut senast 2014. Jag vet att omröstningar har ägt rum i de olika utskotten, men jag vet också att det finns många kolleger i de två stora grupperna som känner sig mycket illa till mods med den nuvarande ståndpunkten.","De bör alltså rösta i syfte att framföra sina åsikter. Vi håller inte på med någon förhandling, så vi behöver inte kompromissa."
"SV7_10","SV",7,"De bör alltså rösta i syfte att framföra sina åsikter.","Jag vet att omröstningar har ägt rum i de olika utskotten, men jag vet också att det finns många kolleger i de två stora grupperna som känner sig mycket illa till mods med den nuvarande ståndpunkten. De måste inse att de har full frihet att rösta enligt sitt samvete, för det är faktiskt inte Europaparlamentet som beslutar.","Vi håller inte på med någon förhandling, så vi behöver inte kompromissa. Vi kan ge en mycket stark politisk signal till stöd för kommissionen."
"SV7_11","SV",7,"Vi håller inte på med någon förhandling, så vi behöver inte kompromissa.","De måste inse att de har full frihet att rösta enligt sitt samvete, för det är faktiskt inte Europaparlamentet som beslutar. De bör alltså rösta i syfte att framföra sina åsikter.","Vi kan ge en mycket stark politisk signal till stöd för kommissionen. Därför anser jag att Europaparlamentet bör fungera som motvikt till medlemsstaternas mycket starka politiska påtryckningar på kommissionen och visa att vi tänker på framtiden och inte på det förflutna."
"SV7_12","SV",7,"Vi kan ge en mycket stark politisk signal till stöd för kommissionen.","De bör alltså rösta i syfte att framföra sina åsikter. Vi håller inte på med någon förhandling, så vi behöver inte kompromissa.","Därför anser jag att Europaparlamentet bör fungera som motvikt till medlemsstaternas mycket starka politiska påtryckningar på kommissionen och visa att vi tänker på framtiden och inte på det förflutna."
"SV7_13","SV",7,"Därför anser jag att Europaparlamentet bör fungera som motvikt till medlemsstaternas mycket starka politiska påtryckningar på kommissionen och visa att vi tänker på framtiden och inte på det förflutna.","Vi håller inte på med någon förhandling, så vi behöver inte kompromissa. Vi kan ge en mycket stark politisk signal till stöd för kommissionen.",""
"SV8_1","SV",8,"Philippe Lamberts, för Verts/ALE-gruppen.","","- (FR) Fru talman, mina damer och herrar! Gruppen De gröna/Europeiska fria alliansen har inga invändningar mot att offentliga medel investeras, förutsatt att de fungerar som en katalysator för den omvandling som vårt samhälle, vår industri och vår ekonomi måste genomgå för att bli rättvisare och framför allt mer hållbara. Vi måste komma ihåg att stöd till kolgruvor som inte är konkurrenskraftiga strider mot dessa målsättningar."
"SV8_2","SV",8,"- (FR) Fru talman, mina damer och herrar! Gruppen De gröna/Europeiska fria alliansen har inga invändningar mot att offentliga medel investeras, förutsatt att de fungerar som en katalysator för den omvandling som vårt samhälle, vår industri och vår ekonomi måste genomgå för att bli rättvisare och framför allt mer hållbara.","Philippe Lamberts, för Verts/ALE-gruppen.","Vi måste komma ihåg att stöd till kolgruvor som inte är konkurrenskraftiga strider mot dessa målsättningar. Det stöttar upp en bransch som inte är hållbar vare sig ekonomiskt - i annat fall skulle den inte behöva subventioner - eller ur miljösynpunkt."
"SV8_3","SV",8,"Vi måste komma ihåg att stöd till kolgruvor som inte är konkurrenskraftiga strider mot dessa målsättningar.","Philippe Lamberts, för Verts/ALE-gruppen. - (FR) Fru talman, mina damer och herrar! Gruppen De gröna/Europeiska fria alliansen har inga invändningar mot att offentliga medel investeras, förutsatt att de fungerar som en katalysator för den omvandling som vårt samhälle, vår industri och vår ekonomi måste genomgå för att bli rättvisare och framför allt mer hållbara.","Det stöttar upp en bransch som inte är hållbar vare sig ekonomiskt - i annat fall skulle den inte behöva subventioner - eller ur miljösynpunkt. Liksom Sophia in ’t Veld nyss betonade har kolindustrin i flera årtionden begärt att denna övergångsperiod ska förlängas, till synes i all oändlighet."
"SV8_4","SV",8,"Det stöttar upp en bransch som inte är hållbar vare sig ekonomiskt - i annat fall skulle den inte behöva subventioner - eller ur miljösynpunkt.","- (FR) Fru talman, mina damer och herrar! Gruppen De gröna/Europeiska fria alliansen har inga invändningar mot att offentliga medel investeras, förutsatt att de fungerar som en katalysator för den omvandling som vårt samhälle, vår industri och vår ekonomi måste genomgå för att bli rättvisare och framför allt mer hållbara. Vi måste komma ihåg att stöd till kolgruvor som inte är konkurrenskraftiga strider mot dessa målsättningar.","Liksom Sophia in ’t Veld nyss betonade har kolindustrin i flera årtionden begärt att denna övergångsperiod ska förlängas, till synes i all oändlighet. Till mina tyska kolleger vill jag säga att samtidigt har många europeiska länder i flera årtionden arbetat för att sätta punkt för denna ohållbara industri."
"SV8_5","SV",8,"Liksom Sophia in ’t Veld nyss betonade har kolindustrin i flera årtionden begärt att denna övergångsperiod ska förlängas, till synes i all oändlighet.","Vi måste komma ihåg att stöd till kolgruvor som inte är konkurrenskraftiga strider mot dessa målsättningar. Det stöttar upp en bransch som inte är hållbar vare sig ekonomiskt - i annat fall skulle den inte behöva subventioner - eller ur miljösynpunkt.","Till mina tyska kolleger vill jag säga att samtidigt har många europeiska länder i flera årtionden arbetat för att sätta punkt för denna ohållbara industri. Detta gäller mitt land, Frankrike, och det gäller också många andra länder."
"SV8_6","SV",8,"Till mina tyska kolleger vill jag säga att samtidigt har många europeiska länder i flera årtionden arbetat för att sätta punkt för denna ohållbara industri.","Det stöttar upp en bransch som inte är hållbar vare sig ekonomiskt - i annat fall skulle den inte behöva subventioner - eller ur miljösynpunkt. Liksom Sophia in ’t Veld nyss betonade har kolindustrin i flera årtionden begärt att denna övergångsperiod ska förlängas, till synes i all oändlighet.","Detta gäller mitt land, Frankrike, och det gäller också många andra länder. Vi stöder därför kommissionens förslag, och följaktligen förslaget om att subventioner ska användas så att de berörda arbetstagarna kan omplaceras på ett vettigt och värdigt sätt."
