"sentenceid","reviewno","_golden","pub_scale","pub_scale_gold","pub_scale_gold_min","pub_scale_gold_max","pub_scale_gold_reason","screener","sentence_text","pre_sentence","post_sentence"
316,3,"","","","","","",FALSE,"The paper itself is very well researched and written.","Three hours (ok, perhaps three months to design and validate) versus years and hundreds of thousands of dollars. Imagine how much farther NSF dollars would go if there were more projects like this.","The authors are quite transparent about the limits of their project, and they do not cut corners in terms of collecting the evidence needed to support their assertions about the limits of expert coding, awareness of the source, and the efficacy of alternative crowd sourcing approaches. This is a serious, mature project."
317,3,"","","","","","",FALSE,"The authors are quite transparent about the limits of their project, and they do not cut corners in terms of collecting the evidence needed to support their assertions about the limits of expert coding, awareness of the source, and the efficacy of alternative crowd sourcing approaches.","Imagine how much farther NSF dollars would go if there were more projects like this. The paper itself is very well researched and written.","This is a serious, mature project. One discussion that I was looking for that was not in the main paper was details about the total time and cost involved in crowdsourcing this project."
318,3,"","","","","","",FALSE,"This is a serious, mature project.","The paper itself is very well researched and written. The authors are quite transparent about the limits of their project, and they do not cut corners in terms of collecting the evidence needed to support their assertions about the limits of expert coding, awareness of the source, and the efficacy of alternative crowd sourcing approaches.","One discussion that I was looking for that was not in the main paper was details about the total time and cost involved in crowdsourcing this project. Not just paying the workers but also the time involved for the researchers and for contracting with CrowdFlower?"
319,3,"","","","","","",FALSE,"One discussion that I was looking for that was not in the main paper was details about the total time and cost involved in crowdsourcing this project.","The authors are quite transparent about the limits of their project, and they do not cut corners in terms of collecting the evidence needed to support their assertions about the limits of expert coding, awareness of the source, and the efficacy of alternative crowd sourcing approaches. This is a serious, mature project.","Not just paying the workers but also the time involved for the researchers and for contracting with CrowdFlower? What should a user expect in terms of the stages of putting a project like this together?"
320,3,"","","","","","",FALSE,"Not just paying the workers but also the time involved for the researchers and for contracting with CrowdFlower?","This is a serious, mature project. One discussion that I was looking for that was not in the main paper was details about the total time and cost involved in crowdsourcing this project.","What should a user expect in terms of the stages of putting a project like this together? What would a grant proposal budget look like?"
321,3,"","","","","","",FALSE,"What should a user expect in terms of the stages of putting a project like this together?","One discussion that I was looking for that was not in the main paper was details about the total time and cost involved in crowdsourcing this project. Not just paying the workers but also the time involved for the researchers and for contracting with CrowdFlower?","What would a grant proposal budget look like? Given that the paper was so transparent in other respects, this was a noteworthy omission."
322,3,"","","","","","",FALSE,"What would a grant proposal budget look like?","Not just paying the workers but also the time involved for the researchers and for contracting with CrowdFlower? What should a user expect in terms of the stages of putting a project like this together?","Given that the paper was so transparent in other respects, this was a noteworthy omission. The other missing discussion for a lot of people is: will these methods work for my project?"
323,3,"","","","","","",FALSE,"Given that the paper was so transparent in other respects, this was a noteworthy omission.","What should a user expect in terms of the stages of putting a project like this together? What would a grant proposal budget look like?","The other missing discussion for a lot of people is: will these methods work for my project? The authors simplify their task compared to the CMP - a smart defensible decision."
324,3,"","","","","","",FALSE,"The other missing discussion for a lot of people is: will these methods work for my project?","What would a grant proposal budget look like? Given that the paper was so transparent in other respects, this was a noteworthy omission.","The authors simplify their task compared to the CMP - a smart defensible decision. But what if I am involved in the policy agendas project, with its current 19 major topics and 224 subtopics?"
325,3,"","","","","","",FALSE,"The authors simplify their task compared to the CMP - a smart defensible decision.","Given that the paper was so transparent in other respects, this was a noteworthy omission. The other missing discussion for a lot of people is: will these methods work for my project?","But what if I am involved in the policy agendas project, with its current 19 major topics and 224 subtopics? Or what if my project crosses languages as in the CMP?"
326,3,"","","","","","",FALSE,"But what if I am involved in the policy agendas project, with its current 19 major topics and 224 subtopics?","The other missing discussion for a lot of people is: will these methods work for my project? The authors simplify their task compared to the CMP - a smart defensible decision.","Or what if my project crosses languages as in the CMP? Is this really the panacea the authors suggest?"
327,3,"","","","","","",FALSE,"Or what if my project crosses languages as in the CMP?","The authors simplify their task compared to the CMP - a smart defensible decision. But what if I am involved in the policy agendas project, with its current 19 major topics and 224 subtopics?","Is this really the panacea the authors suggest? It would be helpful for the authors to reflect more on the scope of feasible projects, limitations of the worker bee population etc in their conclusion."
328,3,"","","","","","",FALSE,"Is this really the panacea the authors suggest?","But what if I am involved in the policy agendas project, with its current 19 major topics and 224 subtopics? Or what if my project crosses languages as in the CMP?","It would be helpful for the authors to reflect more on the scope of feasible projects, limitations of the worker bee population etc in their conclusion. But overall the paper is in great shape."
329,3,"","","","","","",FALSE,"It would be helpful for the authors to reflect more on the scope of feasible projects, limitations of the worker bee population etc in their conclusion.","Or what if my project crosses languages as in the CMP? Is this really the panacea the authors suggest?","But overall the paper is in great shape."
330,3,"","","","","","",FALSE,"But overall the paper is in great shape.","Is this really the panacea the authors suggest? It would be helpful for the authors to reflect more on the scope of feasible projects, limitations of the worker bee population etc in their conclusion.",""
401,4,"","","","","","",FALSE,"The paper, ""Crowd-Sourced Coding of Political Texts,"" presents an interesting application of crowd sourcing methods as a way of gathering political data, specifically parties' issue positions, from content analysis.","","The authors demonstrate two sets of analyses. In the first set, they demonstrate the robustness of crowd-sourced based coding of manifesto data to a data generated using a smaller set of expert coders."
402,4,"","","","","","",FALSE,"The authors demonstrate two sets of analyses.","The paper, ""Crowd-Sourced Coding of Political Texts,"" presents an interesting application of crowd sourcing methods as a way of gathering political data, specifically parties' issue positions, from content analysis.","In the first set, they demonstrate the robustness of crowd-sourced based coding of manifesto data to a data generated using a smaller set of expert coders. They additionally demonstrate that information about these coders (and their validity) can be explicitly used to in order to make coding of the overall text more valid."
403,4,"","","","","","",FALSE,"In the first set, they demonstrate the robustness of crowd-sourced based coding of manifesto data to a data generated using a smaller set of expert coders.","The paper, ""Crowd-Sourced Coding of Political Texts,"" presents an interesting application of crowd sourcing methods as a way of gathering political data, specifically parties' issue positions, from content analysis. The authors demonstrate two sets of analyses.","They additionally demonstrate that information about these coders (and their validity) can be explicitly used to in order to make coding of the overall text more valid. In the second set of analyses, the authors demonstrate that the method can be used to gather novel data by using crowd-sourcing to capture British party positions on immigration, and demonstrate its robustness in comparison to two types of expert coding."
404,4,"","","","","","",FALSE,"They additionally demonstrate that information about these coders (and their validity) can be explicitly used to in order to make coding of the overall text more valid.","The authors demonstrate two sets of analyses. In the first set, they demonstrate the robustness of crowd-sourced based coding of manifesto data to a data generated using a smaller set of expert coders.","In the second set of analyses, the authors demonstrate that the method can be used to gather novel data by using crowd-sourcing to capture British party positions on immigration, and demonstrate its robustness in comparison to two types of expert coding. While the paper is a competent and thorough demonstration of the benefits of the use of crowd-sourced data to capture political party positions, I do not believe that the paper offers a novel enough contribution to warrant publication in the APSR, and I do not recommend that the paper be accepted for publication."
405,4,"","","","","","",FALSE,"In the second set of analyses, the authors demonstrate that the method can be used to gather novel data by using crowd-sourcing to capture British party positions on immigration, and demonstrate its robustness in comparison to two types of expert coding.","In the first set, they demonstrate the robustness of crowd-sourced based coding of manifesto data to a data generated using a smaller set of expert coders. They additionally demonstrate that information about these coders (and their validity) can be explicitly used to in order to make coding of the overall text more valid.","While the paper is a competent and thorough demonstration of the benefits of the use of crowd-sourced data to capture political party positions, I do not believe that the paper offers a novel enough contribution to warrant publication in the APSR, and I do not recommend that the paper be accepted for publication. Overall, this paper offers a convincing demonstration of the robustness of crowd sourcing."
406,4,"","","","","","",FALSE,"While the paper is a competent and thorough demonstration of the benefits of the use of crowd-sourced data to capture political party positions, I do not believe that the paper offers a novel enough contribution to warrant publication in the APSR, and I do not recommend that the paper be accepted for publication.","They additionally demonstrate that information about these coders (and their validity) can be explicitly used to in order to make coding of the overall text more valid. In the second set of analyses, the authors demonstrate that the method can be used to gather novel data by using crowd-sourcing to capture British party positions on immigration, and demonstrate its robustness in comparison to two types of expert coding.","Overall, this paper offers a convincing demonstration of the robustness of crowd sourcing. Using an expert group of coders and a crowd-sourced group of coders, the authors demonstrate that crowd sourcing can produce reliable estimates based on textual analyses, given sufficiently precise and simple coding decisions."
407,4,"","","","","","",FALSE,"Overall, this paper offers a convincing demonstration of the robustness of crowd sourcing.","In the second set of analyses, the authors demonstrate that the method can be used to gather novel data by using crowd-sourcing to capture British party positions on immigration, and demonstrate its robustness in comparison to two types of expert coding. While the paper is a competent and thorough demonstration of the benefits of the use of crowd-sourced data to capture political party positions, I do not believe that the paper offers a novel enough contribution to warrant publication in the APSR, and I do not recommend that the paper be accepted for publication.","Using an expert group of coders and a crowd-sourced group of coders, the authors demonstrate that crowd sourcing can produce reliable estimates based on textual analyses, given sufficiently precise and simple coding decisions. The authors are able to demonstrate that the data gathered using a crowd source produces nearly identical results to that created by experts using the same method of coding."
408,4,"","","","","","",FALSE,"Using an expert group of coders and a crowd-sourced group of coders, the authors demonstrate that crowd sourcing can produce reliable estimates based on textual analyses, given sufficiently precise and simple coding decisions.","While the paper is a competent and thorough demonstration of the benefits of the use of crowd-sourced data to capture political party positions, I do not believe that the paper offers a novel enough contribution to warrant publication in the APSR, and I do not recommend that the paper be accepted for publication. Overall, this paper offers a convincing demonstration of the robustness of crowd sourcing.","The authors are able to demonstrate that the data gathered using a crowd source produces nearly identical results to that created by experts using the same method of coding. Moreover, the authors are able to demonstrate that random sentence order coding and order coding, when given context, produce similar results."
409,4,"","","","","","",FALSE,"The authors are able to demonstrate that the data gathered using a crowd source produces nearly identical results to that created by experts using the same method of coding.","Overall, this paper offers a convincing demonstration of the robustness of crowd sourcing. Using an expert group of coders and a crowd-sourced group of coders, the authors demonstrate that crowd sourcing can produce reliable estimates based on textual analyses, given sufficiently precise and simple coding decisions.","Moreover, the authors are able to demonstrate that random sentence order coding and order coding, when given context, produce similar results. Importantly, the authors demonstrate how their method of data generation can provide reliable, efficient, and affordable data on party positions from data sources."
410,4,"","","","","","",FALSE,"Moreover, the authors are able to demonstrate that random sentence order coding and order coding, when given context, produce similar results.","Using an expert group of coders and a crowd-sourced group of coders, the authors demonstrate that crowd sourcing can produce reliable estimates based on textual analyses, given sufficiently precise and simple coding decisions. The authors are able to demonstrate that the data gathered using a crowd source produces nearly identical results to that created by experts using the same method of coding.","Importantly, the authors demonstrate how their method of data generation can provide reliable, efficient, and affordable data on party positions from data sources. The authors have also been very clear about the conditions under which this data generating process produces reliable results - specifically, in contexts with clear textual sources, using a ""gold standard"" test to remove poor quality coders, using simple and thorough instructions, and with a sufficient number of coders."
411,4,"","","","","","",FALSE,"Importantly, the authors demonstrate how their method of data generation can provide reliable, efficient, and affordable data on party positions from data sources.","The authors are able to demonstrate that the data gathered using a crowd source produces nearly identical results to that created by experts using the same method of coding. Moreover, the authors are able to demonstrate that random sentence order coding and order coding, when given context, produce similar results.","The authors have also been very clear about the conditions under which this data generating process produces reliable results - specifically, in contexts with clear textual sources, using a ""gold standard"" test to remove poor quality coders, using simple and thorough instructions, and with a sufficient number of coders. Moreover, the authors have provided thorough instructions on how to apply their method, which is a critically important contribution to a methods paper."
412,4,"","","","","","",FALSE,"The authors have also been very clear about the conditions under which this data generating process produces reliable results - specifically, in contexts with clear textual sources, using a ""gold standard"" test to remove poor quality coders, using simple and thorough instructions, and with a sufficient number of coders.","Moreover, the authors are able to demonstrate that random sentence order coding and order coding, when given context, produce similar results. Importantly, the authors demonstrate how their method of data generation can provide reliable, efficient, and affordable data on party positions from data sources.","Moreover, the authors have provided thorough instructions on how to apply their method, which is a critically important contribution to a methods paper. While the paper is convincingly written and the project is very thorough in its execution, I am uncertain about how much of a novel contribution this paper has made."
413,4,"","","","","","",FALSE,"Moreover, the authors have provided thorough instructions on how to apply their method, which is a critically important contribution to a methods paper.","Importantly, the authors demonstrate how their method of data generation can provide reliable, efficient, and affordable data on party positions from data sources. The authors have also been very clear about the conditions under which this data generating process produces reliable results - specifically, in contexts with clear textual sources, using a ""gold standard"" test to remove poor quality coders, using simple and thorough instructions, and with a sufficient number of coders.","While the paper is convincingly written and the project is very thorough in its execution, I am uncertain about how much of a novel contribution this paper has made. As the authors note, crowd-sourcing has been used with increasing frequency in social science."
414,4,"","","","","","",FALSE,"While the paper is convincingly written and the project is very thorough in its execution, I am uncertain about how much of a novel contribution this paper has made.","The authors have also been very clear about the conditions under which this data generating process produces reliable results - specifically, in contexts with clear textual sources, using a ""gold standard"" test to remove poor quality coders, using simple and thorough instructions, and with a sufficient number of coders. Moreover, the authors have provided thorough instructions on how to apply their method, which is a critically important contribution to a methods paper.","As the authors note, crowd-sourcing has been used with increasing frequency in social science. While the authors have demonstrated the effectiveness of this method for analyses of parties' policy positions, this paper does not appear to be the introduction of a new method."
415,4,"","","","","","",FALSE,"As the authors note, crowd-sourcing has been used with increasing frequency in social science.","Moreover, the authors have provided thorough instructions on how to apply their method, which is a critically important contribution to a methods paper. While the paper is convincingly written and the project is very thorough in its execution, I am uncertain about how much of a novel contribution this paper has made.","While the authors have demonstrated the effectiveness of this method for analyses of parties' policy positions, this paper does not appear to be the introduction of a new method. Rather, this paper outlines, in an admittedly effective manner, the conditions under which the method can be utilized to produce certain types of data."
416,4,"","","","","","",FALSE,"While the authors have demonstrated the effectiveness of this method for analyses of parties' policy positions, this paper does not appear to be the introduction of a new method.","While the paper is convincingly written and the project is very thorough in its execution, I am uncertain about how much of a novel contribution this paper has made. As the authors note, crowd-sourcing has been used with increasing frequency in social science.","Rather, this paper outlines, in an admittedly effective manner, the conditions under which the method can be utilized to produce certain types of data. I do not believe this is a sufficient contribution for the top journal in the field."
417,4,"","","","","","",FALSE,"Rather, this paper outlines, in an admittedly effective manner, the conditions under which the method can be utilized to produce certain types of data.","As the authors note, crowd-sourcing has been used with increasing frequency in social science. While the authors have demonstrated the effectiveness of this method for analyses of parties' policy positions, this paper does not appear to be the introduction of a new method.","I do not believe this is a sufficient contribution for the top journal in the field. Moreover, while the paper has convincingly demonstrated that crowd sourcing is an efficient method of calculating parties' policy positions from textual data sources in the British context, the authors have not demonstrated the applicability of this method for other types of data."
418,4,"","","","","","",FALSE,"I do not believe this is a sufficient contribution for the top journal in the field.","While the authors have demonstrated the effectiveness of this method for analyses of parties' policy positions, this paper does not appear to be the introduction of a new method. Rather, this paper outlines, in an admittedly effective manner, the conditions under which the method can be utilized to produce certain types of data.","Moreover, while the paper has convincingly demonstrated that crowd sourcing is an efficient method of calculating parties' policy positions from textual data sources in the British context, the authors have not demonstrated the applicability of this method for other types of data. Would the authors have found as reliable of estimates for languages other than English?"
419,4,"","","","","","",FALSE,"Moreover, while the paper has convincingly demonstrated that crowd sourcing is an efficient method of calculating parties' policy positions from textual data sources in the British context, the authors have not demonstrated the applicability of this method for other types of data.","Rather, this paper outlines, in an admittedly effective manner, the conditions under which the method can be utilized to produce certain types of data. I do not believe this is a sufficient contribution for the top journal in the field.","Would the authors have found as reliable of estimates for languages other than English? To what extent can this method of coding be applied to positional questions for which manifesto data is not available?"
420,4,"","","","","","",FALSE,"Would the authors have found as reliable of estimates for languages other than English?","I do not believe this is a sufficient contribution for the top journal in the field. Moreover, while the paper has convincingly demonstrated that crowd sourcing is an efficient method of calculating parties' policy positions from textual data sources in the British context, the authors have not demonstrated the applicability of this method for other types of data.","To what extent can this method of coding be applied to positional questions for which manifesto data is not available? Given that the authors have placed their method as an alternative to expert surveys, such as CHES, or expert textual analyses, such as the CMP, they have not in fact replicated some of the most complex parts of these data-sets, which is the cross- national, multi-lingual nature of this data."
421,4,"","","","","","",FALSE,"To what extent can this method of coding be applied to positional questions for which manifesto data is not available?","Moreover, while the paper has convincingly demonstrated that crowd sourcing is an efficient method of calculating parties' policy positions from textual data sources in the British context, the authors have not demonstrated the applicability of this method for other types of data. Would the authors have found as reliable of estimates for languages other than English?","Given that the authors have placed their method as an alternative to expert surveys, such as CHES, or expert textual analyses, such as the CMP, they have not in fact replicated some of the most complex parts of these data-sets, which is the cross- national, multi-lingual nature of this data. In order to be of APSR level impact, the authors would need to show that their data could truly serve as a competitor to more traditional, cross-national data sources."
422,4,"","","","","","",FALSE,"Given that the authors have placed their method as an alternative to expert surveys, such as CHES, or expert textual analyses, such as the CMP, they have not in fact replicated some of the most complex parts of these data-sets, which is the cross- national, multi-lingual nature of this data.","Would the authors have found as reliable of estimates for languages other than English? To what extent can this method of coding be applied to positional questions for which manifesto data is not available?","In order to be of APSR level impact, the authors would need to show that their data could truly serve as a competitor to more traditional, cross-national data sources. For example, in order to make the impact of their data clearer, rather than just demonstrating the correlations between the observations, the authors might try to apply their data to competing data sources in political analyses."
423,4,"","","","","","",FALSE,"In order to be of APSR level impact, the authors would need to show that their data could truly serve as a competitor to more traditional, cross-national data sources.","To what extent can this method of coding be applied to positional questions for which manifesto data is not available? Given that the authors have placed their method as an alternative to expert surveys, such as CHES, or expert textual analyses, such as the CMP, they have not in fact replicated some of the most complex parts of these data-sets, which is the cross- national, multi-lingual nature of this data.","For example, in order to make the impact of their data clearer, rather than just demonstrating the correlations between the observations, the authors might try to apply their data to competing data sources in political analyses. Does the authors' data lead to similar or distinct political predictions than alternative sources of the same data?"
424,4,"","","","","","",FALSE,"For example, in order to make the impact of their data clearer, rather than just demonstrating the correlations between the observations, the authors might try to apply their data to competing data sources in political analyses.","Given that the authors have placed their method as an alternative to expert surveys, such as CHES, or expert textual analyses, such as the CMP, they have not in fact replicated some of the most complex parts of these data-sets, which is the cross- national, multi-lingual nature of this data. In order to be of APSR level impact, the authors would need to show that their data could truly serve as a competitor to more traditional, cross-national data sources.","Does the authors' data lead to similar or distinct political predictions than alternative sources of the same data? If so, then the authors have stronger evidence that their data can be used in place of alternative data sources."
425,4,"","","","","","",FALSE,"Does the authors' data lead to similar or distinct political predictions than alternative sources of the same data?","In order to be of APSR level impact, the authors would need to show that their data could truly serve as a competitor to more traditional, cross-national data sources. For example, in order to make the impact of their data clearer, rather than just demonstrating the correlations between the observations, the authors might try to apply their data to competing data sources in political analyses.","If so, then the authors have stronger evidence that their data can be used in place of alternative data sources. If not, then the authors may want to discuss why their data generating process produces more valid observations."
426,4,"","","","","","",FALSE,"If so, then the authors have stronger evidence that their data can be used in place of alternative data sources.","For example, in order to make the impact of their data clearer, rather than just demonstrating the correlations between the observations, the authors might try to apply their data to competing data sources in political analyses. Does the authors' data lead to similar or distinct political predictions than alternative sources of the same data?","If not, then the authors may want to discuss why their data generating process produces more valid observations. While the authors' main focus of this paper has been reliability, and not necessarily validity, I believe that this is a critical element of the paper, and should be discussed in greater detail."
427,4,"","","","","","",FALSE,"If not, then the authors may want to discuss why their data generating process produces more valid observations.","Does the authors' data lead to similar or distinct political predictions than alternative sources of the same data? If so, then the authors have stronger evidence that their data can be used in place of alternative data sources.","While the authors' main focus of this paper has been reliability, and not necessarily validity, I believe that this is a critical element of the paper, and should be discussed in greater detail. For example, the authors mention that their crowd sourced data captures the shift of Labour, but do not demonstrate it."
428,4,"","","","","","",FALSE,"While the authors' main focus of this paper has been reliability, and not necessarily validity, I believe that this is a critical element of the paper, and should be discussed in greater detail.","If so, then the authors have stronger evidence that their data can be used in place of alternative data sources. If not, then the authors may want to discuss why their data generating process produces more valid observations.","For example, the authors mention that their crowd sourced data captures the shift of Labour, but do not demonstrate it. These kinds of demonstrations would be very helpful in understanding the validity of the data."
429,4,"","","","","","",FALSE,"For example, the authors mention that their crowd sourced data captures the shift of Labour, but do not demonstrate it.","If not, then the authors may want to discuss why their data generating process produces more valid observations. While the authors' main focus of this paper has been reliability, and not necessarily validity, I believe that this is a critical element of the paper, and should be discussed in greater detail.","These kinds of demonstrations would be very helpful in understanding the validity of the data. In this vein, while the authors are able to generally demonstrate the robustness of their codings, I did have one question on the Labour Parties' social estimates between the crowd codings and the expert codings."
430,4,"","","","","","",FALSE,"These kinds of demonstrations would be very helpful in understanding the validity of the data.","While the authors' main focus of this paper has been reliability, and not necessarily validity, I believe that this is a critical element of the paper, and should be discussed in greater detail. For example, the authors mention that their crowd sourced data captures the shift of Labour, but do not demonstrate it.","In this vein, while the authors are able to generally demonstrate the robustness of their codings, I did have one question on the Labour Parties' social estimates between the crowd codings and the expert codings. While I agree with the authors that the overall results and correlations are convincing, in the instance of the social placements, the experts and the crowd place the estimates on the opposite side of the left-right divide."
431,4,"","","","","","",FALSE,"In this vein, while the authors are able to generally demonstrate the robustness of their codings, I did have one question on the Labour Parties' social estimates between the crowd codings and the expert codings.","For example, the authors mention that their crowd sourced data captures the shift of Labour, but do not demonstrate it. These kinds of demonstrations would be very helpful in understanding the validity of the data.","While I agree with the authors that the overall results and correlations are convincing, in the instance of the social placements, the experts and the crowd place the estimates on the opposite side of the left-right divide. For example, the experts place Labour at 0.45 in 2001, while the crowd places them at -1.44."
432,4,"","","","","","",FALSE,"While I agree with the authors that the overall results and correlations are convincing, in the instance of the social placements, the experts and the crowd place the estimates on the opposite side of the left-right divide.","These kinds of demonstrations would be very helpful in understanding the validity of the data. In this vein, while the authors are able to generally demonstrate the robustness of their codings, I did have one question on the Labour Parties' social estimates between the crowd codings and the expert codings.","For example, the experts place Labour at 0.45 in 2001, while the crowd places them at -1.44. The authors do note that the standard errors are greater in the case of social policy, and that the overall trend indicates that they can be used as replacements, but this seems like quite an important distinction, and the authors should probably discuss this in greater detail, since it seems like a potentially major weakness of their coding."
433,4,"","","","","","",FALSE,"For example, the experts place Labour at 0.45 in 2001, while the crowd places them at -1.44.","In this vein, while the authors are able to generally demonstrate the robustness of their codings, I did have one question on the Labour Parties' social estimates between the crowd codings and the expert codings. While I agree with the authors that the overall results and correlations are convincing, in the instance of the social placements, the experts and the crowd place the estimates on the opposite side of the left-right divide.","The authors do note that the standard errors are greater in the case of social policy, and that the overall trend indicates that they can be used as replacements, but this seems like quite an important distinction, and the authors should probably discuss this in greater detail, since it seems like a potentially major weakness of their coding. In addition to the above, there is one minor point that the authors may wish to clarify."
434,4,"","","","","","",FALSE,"The authors do note that the standard errors are greater in the case of social policy, and that the overall trend indicates that they can be used as replacements, but this seems like quite an important distinction, and the authors should probably discuss this in greater detail, since it seems like a potentially major weakness of their coding.","While I agree with the authors that the overall results and correlations are convincing, in the instance of the social placements, the experts and the crowd place the estimates on the opposite side of the left-right divide. For example, the experts place Labour at 0.45 in 2001, while the crowd places them at -1.44.","In addition to the above, there is one minor point that the authors may wish to clarify. The authors rely very heavily on supplementary materials found in the appendix."
435,4,"","","","","","",FALSE,"In addition to the above, there is one minor point that the authors may wish to clarify.","For example, the experts place Labour at 0.45 in 2001, while the crowd places them at -1.44. The authors do note that the standard errors are greater in the case of social policy, and that the overall trend indicates that they can be used as replacements, but this seems like quite an important distinction, and the authors should probably discuss this in greater detail, since it seems like a potentially major weakness of their coding.","The authors rely very heavily on supplementary materials found in the appendix. However, this material is very hard to follow."
436,4,"","","","","","",FALSE,"The authors rely very heavily on supplementary materials found in the appendix.","The authors do note that the standard errors are greater in the case of social policy, and that the overall trend indicates that they can be used as replacements, but this seems like quite an important distinction, and the authors should probably discuss this in greater detail, since it seems like a potentially major weakness of their coding. In addition to the above, there is one minor point that the authors may wish to clarify.","However, this material is very hard to follow. Frequently, in the main text of the document, the authors refer the reader to the supplementary materials in general, rather than any specific area of the 27 page appendix."
437,4,"","","","","","",FALSE,"However, this material is very hard to follow.","In addition to the above, there is one minor point that the authors may wish to clarify. The authors rely very heavily on supplementary materials found in the appendix.","Frequently, in the main text of the document, the authors refer the reader to the supplementary materials in general, rather than any specific area of the 27 page appendix. Moreover, much of the information found in the appendix has no discussion or information about how to situate the analyses."
438,4,"","","","","","",FALSE,"Frequently, in the main text of the document, the authors refer the reader to the supplementary materials in general, rather than any specific area of the 27 page appendix.","The authors rely very heavily on supplementary materials found in the appendix. However, this material is very hard to follow.","Moreover, much of the information found in the appendix has no discussion or information about how to situate the analyses. Yet these analyses feel critical to understanding the paper."
439,4,"","","","","","",FALSE,"Moreover, much of the information found in the appendix has no discussion or information about how to situate the analyses.","However, this material is very hard to follow. Frequently, in the main text of the document, the authors refer the reader to the supplementary materials in general, rather than any specific area of the 27 page appendix.","Yet these analyses feel critical to understanding the paper."
440,4,"","","","","","",FALSE,"Yet these analyses feel critical to understanding the paper.","Frequently, in the main text of the document, the authors refer the reader to the supplementary materials in general, rather than any specific area of the 27 page appendix. Moreover, much of the information found in the appendix has no discussion or information about how to situate the analyses.",""
501,5,"","","","","","",FALSE,"This article aims at introducing the idea of crowd-sourcing into the data generation process of political science.","","The article shows that crowd sourcing can be used to generate data on party positions in the UK from party manifestos. The article further shows that the positions generated based on crowd sourcing correlate very well with both externally generated measures and with the results of coding from ""experts"" following the same procedure as ""the crowd""."
502,5,"","","","","","",FALSE,"The article shows that crowd sourcing can be used to generate data on party positions in the UK from party manifestos.","This article aims at introducing the idea of crowd-sourcing into the data generation process of political science.","The article further shows that the positions generated based on crowd sourcing correlate very well with both externally generated measures and with the results of coding from ""experts"" following the same procedure as ""the crowd"". The article also shows that the data collection process can be replicated."
503,5,"","","","","","",FALSE,"The article further shows that the positions generated based on crowd sourcing correlate very well with both externally generated measures and with the results of coding from ""experts"" following the same procedure as ""the crowd"".","This article aims at introducing the idea of crowd-sourcing into the data generation process of political science. The article shows that crowd sourcing can be used to generate data on party positions in the UK from party manifestos.","The article also shows that the data collection process can be replicated. Most of the article is a well-written introduction to the technical details of crowd sourcing."
504,5,"","","","","","",FALSE,"The article also shows that the data collection process can be replicated.","The article shows that crowd sourcing can be used to generate data on party positions in the UK from party manifestos. The article further shows that the positions generated based on crowd sourcing correlate very well with both externally generated measures and with the results of coding from ""experts"" following the same procedure as ""the crowd"".","Most of the article is a well-written introduction to the technical details of crowd sourcing. After reading the article I am convinced that crowd sourcing could be potentially useful for data generation in political science."
505,5,"","","","","","",FALSE,"Most of the article is a well-written introduction to the technical details of crowd sourcing.","The article further shows that the positions generated based on crowd sourcing correlate very well with both externally generated measures and with the results of coding from ""experts"" following the same procedure as ""the crowd"". The article also shows that the data collection process can be replicated.","After reading the article I am convinced that crowd sourcing could be potentially useful for data generation in political science. The question, however, is how useful."
506,5,"","","","","","",FALSE,"After reading the article I am convinced that crowd sourcing could be potentially useful for data generation in political science.","The article also shows that the data collection process can be replicated. Most of the article is a well-written introduction to the technical details of crowd sourcing.","The question, however, is how useful. As I see it, this will depend on a number of factors which are not really carefully discussed in this version of the paper, partly because the alternative to crowd-sourcing is not very well described."
507,5,"","","","","","",FALSE,"The question, however, is how useful.","Most of the article is a well-written introduction to the technical details of crowd sourcing. After reading the article I am convinced that crowd sourcing could be potentially useful for data generation in political science.","As I see it, this will depend on a number of factors which are not really carefully discussed in this version of the paper, partly because the alternative to crowd-sourcing is not very well described. The paper talks a lot about expert coding, however what that means is unclear."
508,5,"","","","","","",FALSE,"As I see it, this will depend on a number of factors which are not really carefully discussed in this version of the paper, partly because the alternative to crowd-sourcing is not very well described.","After reading the article I am convinced that crowd sourcing could be potentially useful for data generation in political science. The question, however, is how useful.","The paper talks a lot about expert coding, however what that means is unclear. Expert surveys are popular because it is cheap to send out a questionnaire to a number of political scientists and having them for instance place parties on a left-right scale."
509,5,"","","","","","",FALSE,"The paper talks a lot about expert coding, however what that means is unclear.","The question, however, is how useful. As I see it, this will depend on a number of factors which are not really carefully discussed in this version of the paper, partly because the alternative to crowd-sourcing is not very well described.","Expert surveys are popular because it is cheap to send out a questionnaire to a number of political scientists and having them for instance place parties on a left-right scale. However, this is only feasible for some very specific coding talks."
510,5,"","","","","","",FALSE,"Expert surveys are popular because it is cheap to send out a questionnaire to a number of political scientists and having them for instance place parties on a left-right scale.","As I see it, this will depend on a number of factors which are not really carefully discussed in this version of the paper, partly because the alternative to crowd-sourcing is not very well described. The paper talks a lot about expert coding, however what that means is unclear.","However, this is only feasible for some very specific coding talks. The most common alternative is to train a number of students in a coding scheme and then pay them for coding."
